2020年临海市事业单位公开招聘工作人员一览表,,,,,,,,,,,,,,,
序号,招聘单位主管部门,招聘单位,"单位类别
与预算管理方式","招聘
岗位","岗位
类别","招聘
人数",学历   要求,学位    要求,专业要求,其他要求和有关说明,笔试科目及分数比例,面试方式及分数比例,技能测试及分数比例,咨询电话,备注
163,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",预防医学,专技,1,全日制普通高校本科及以上,,预防医学、流行病与卫生统计学、劳动卫生与环境卫生学,"1.35周岁及以下；
2.台州范围；
3.须毕业于医学院校。",《预防医学》,,,0576-85529273,
164,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",精神医学,专技,1,全日制普通高校本科及以上,,精神医学、精神病与精神卫生学,"1.35周岁及以下；
2.户籍不限；
3.须毕业于医学院校。",《精神医学》,,,0576-85529273,
165,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",计算机管理,专技,1,本科及以上,,"一级学科：计算机类、计算机科学与技术类；
二级学科;通信工程、电子信息工程、电子科学与技术、信息工程、信息科学技术、电子信息科学与技术、信息管理与信息系统、信息物理工程、通信与信息系统、信号与信息处理","1.35周岁及以下；
2.临海范围；
3.取得初级及以上计算机相关专业技术任职资格（2020年全日制普通高校毕业生不作要求）。",《综合素质测试》占50%,结构化面试占50%,,0576-85529273,
166,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助",临床医生,专技,3,全日制普通高校本科及以上,学士及以上,临床医学、重症医学、急诊医学、儿科学,"1.35周岁及以下；
2.户籍不限；
3.2018年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85111798,
167,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助",中医,专技,1,硕士研究生及以上,硕士及以上,中医内科学,"1.35周岁及以下；
2.户籍不限；
3.须取得执业医师资格、住院医师规范化培训合格证书。",《中医学》,,,0576-85111798,
168,临海市卫生健康局,"临海市中医院医共体
（临海市中医院）","公益二类
财政适当补助",中医肛肠,专技,1,硕士研究生及以上,硕士及以上,中医外科学、中西医结合临床,"1.35周岁及以下；
2.户籍不限；
3.须取得执业医师资格、住院医师规范化培训合格证书。",《中医学》,,,0576-85111798,
169,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助",康复医师,专技,2,全日制普通高校本科及以上,学士及以上,临床医学,"1.35周岁及以下；
2.户籍不限；
3.2018年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85111798,
170,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助","放射科
（医学影像诊断）",专技,1,全日制普通高校本科及以上,学士及以上,临床医学、放射医学、医学影像学、影像诊断学、影像医学与核医学,"1.35周岁及以下；
2.户籍不限；
3.2018年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85111798,
171,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助",心电图室,专技,2,全日制普通高校专科及以上,,临床医学、医学影像学,"1.35周岁及以下；
2.户籍不限；
3.2018年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85111798,
172,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助",护理A,专技,4,全日制普通高校专科及以上,,护理学、护理、高级护理、康复护理、社区护理、涉外护理、中西医结合护理,"1.30周岁及以下；
2.台州范围；
3.2018年及以前毕业生须取得护士执业资格且具有二级及以上医院的1周年及以上临床护理工作经历。",《护理学》,,,0576-85111798,
173,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助",护理B,专技,2,全日制普通高校专科及以上,,护理学、护理、高级护理、康复护理、社区护理、涉外护理、中西医结合护理,"1.30周岁及以下；
2.台州范围；
3.面向2020年全日制普通高校应届毕业生。",《护理学》,,,0576-85111798,
174,临海市卫生健康局,临海市中医院医共体（临海市中医院）,"公益二类
财政适当补助",医学工程,专技,1,本科及以上,学士及以上,医学信息工程、医学影像工程、生物医学工程、医疗器械工程,"1.35周岁及以下；
2.户籍不限；
3.2019年及以前毕业生须取得相关专业初级及以上专业技术任职资格。",《综合素质测试》占50%,结构化面试占50%,,0576-85111798,
175,临海市卫生健康局,临海市妇幼保健院（临海市妇女儿童医院）,"公益二类
财政适当补助","临床医生A
(妇产科、儿科、影像诊断)",专技,4,本科及以上,学士及以上,临床医学、妇产科、儿科、医学影像学、医学影像诊断,"1.35周岁及以下；
2.户籍不限；
3.2018年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-89119162,
176,临海市卫生健康局,临海市妇幼保健院（临海市妇女儿童医院）,"公益二类
财政适当补助","临床医生B
(妇产科、儿科、影像诊断、皮肤科、乳腺科)",专技,4,本科及以上,,临床医学、妇产科、儿科、医学影像学、医学影像诊断、皮肤科、外科,"1.35周岁及以下；
2.户籍不限；
3.取得执业医师资格；
4.取得妇产科、儿科、影像诊断、皮肤科、乳腺科方向其中之一的住院医师规范化培训合格证或以上学科之一的中级及以上专业技术任职资格；
5.现在二级及以上医院从事以上学科临床工作满2周年及以上；
6.取得高级专业技术任职资格的年龄放宽至45周岁。",《临床医学》,,,0576-89119162,
177,临海市卫生健康局,临海市妇幼保健院（临海市妇女儿童医院）,"公益二类
财政适当补助",助产,专技,1,全日制普通高校专科及以上,,助产、助产学、护理学（助产方向）、高级助产,"1.30周岁及以下；
2.台州范围；
3.2018年及以前毕业生须取得护士执业资格且具有二级及以上医院的1周年及以上临床助产工作经历。",《护理学》,,,0576-89119162,
178,临海市卫生健康局,临海市妇幼保健院（临海市妇女儿童医院）,"公益二类
财政适当补助",护理,专技,1,全日制普通高校专科及以上,,护理学、护理、高级护理、康复护理、社区护理、涉外护理、中西医结合护理,"1.30周岁及以下；
2.台州范围；
3.2018年及以前毕业生须取得护士执业资格且具有二级及以上医院的1周年及以上临床护理工作经历。",《护理学》,,,0576-89119162,
179,临海市卫生健康局,临海市妇幼保健院（临海市妇女儿童医院）,"公益二类
财政适当补助",总务科,专技,1,本科及以上,学士及以上,一级学科：电气类、电气工程类,"1.35周岁及以下；
2.台州范围；
3.在二级及以上医院从事水电、暖通、基建相关工作满2周年及以上；
4.取得相关专业中级及以上专业技术任职资格的，学位不作要求。",《综合素质测试》占50%,结构化面试占50%,,0576-89119162,
180,临海市卫生健康局,临海市疾病预防控制中心,"公益一类
财政全额补助",预防医学,专技,8,全日制普通高校本科及以上,学士及以上,预防医学、流行病与卫生统计学、劳动卫生与环境卫生学,"1.35周岁及以下；
2.台州范围；
3.须毕业于医学院校。",《预防医学》,,,0576-89116203,
181,临海市卫生健康局,临海市疾病预防控制中心,"公益一类
财政全额补助",检验科,专技,2,全日制普通高校本科及以上,学士及以上,医学检验、医学检验技术,"1.35周岁及以下；
2.台州范围；
3.须毕业于医学院校。",《医学检验》,,,0576-89116203,
182,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",临床医生,专技,28,专科及以上,,临床医学,"1.35周岁及以下；
2.台州范围；
3.非全日制普通高校毕业须取得相应执业资格；
4.取得执业医师资格的，年龄放宽到40周岁及以下。",《临床医学》,,,0576-85171277,按总成绩从高分到低分依次择岗。
183,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",妇产科,专技,4,专科及以上,,临床医学、妇产科学,"1.35周岁及以下；
2.台州范围；
3.非全日制普通高校毕业须取得相应执业资格；
4.取得执业医师资格的，年龄放宽到40周岁及以下。",《临床医学》,,,0576-85171277,
184,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",口腔科,专技,1,全日制普通高校专科及以上,,口腔医学,"1.35周岁及以下；
2.台州范围。",《口腔医学》,,,0576-85171277,
185,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",预防医学,专技,5,全日制普通高校专科及以上,,预防医学,"1.35周岁及以下；
2.台州范围。",《预防医学》,,,0576-85171277,
186,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",中医,专技,10,全日制普通高校专科及以上,,中医、中西医结合、中西医临床医学,"1.35周岁及以下；
2.台州范围。",《中医学》,,,0576-85171277,
187,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",康复技师,专技,1,全日制普通高校专科及以上,,康复治疗技术,"1.35周岁及以下；
2.台州范围。",《中医学》,,,0576-85171277,按总成绩从高分到低分依次择岗。
188,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",护理,专技,6,专科及以上,,护理学、护理、高级护理、康复护理、社区护理、涉外护理、中西医结合护理,"1.30周岁及以下；
2.临海范围；
3.非全日制普通高校毕业须取得相应执业资格。",《护理学》,,,0576-85171277,
189,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",药剂科,专技,3,专科及以上,,药学、药理学、临床药学、应用药学,"1.35周岁及以下；
2.台州范围；
3.非全日制普通高校毕业须取得相应执业资格。",《药学》,,,0576-85171277,
190,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",中药房,专技,4,全日制普通高校专科及以上,,中药学、中药药理学、天然药学，天然药物（中药）,"1.35周岁及以下；
2.台州范围。",《中药学》,,,0576-85171277,
191,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",检验科,专技,2,专科及以上,,医学检验、临床检验诊断学、医学检验技术,"1.35周岁及以下；
2.台州范围；
3.非全日制普通高校毕业须取得相应执业资格。",《医学检验》,,,0576-85171277,
192,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",B超室（医学影像诊断）,专技,3,专科及以上,,临床医学、医学影像诊断、医学影像学,"1.35周岁及以下；
2.台州范围；
3.非全日制普通高校毕业须取得相应执业资格。",《临床医学》,,,0576-85171277,
193,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助","放射科
（医学影像诊断）",专技,2,专科及以上,,临床医学、医学影像诊断、医学影像学,"1.35周岁及以下；
2.台州范围；
3.非全日制普通高校毕业须取得相应执业资格。",《临床医学》,,,0576-85171277,按总成绩从高分到低分依次择岗。
194,临海市卫生健康局,临海市街道社区卫生服务中心、镇中心卫生院（医共体分院),"公益二类
财政适当补助",财务管理,专技,3,本科及以上,,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、金融学、金融工程,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85171277,
合计,,,,,,371,,,,,,,,,
"说明：
1.表格中的“岗位类别”以办理聘（录）用手续时招聘单位空缺情况为准；
2.“学历专业”栏中专业一般指二级学科,有专门注明的以专门注明为准；加括号的专业以学信网认证为准；
3.报考卫健系统的全日制普通高校临床医学专业本科学历，学制须5年；报考卫健系统各岗位有执业资格要求的，执业资格证须卫生行政部门核发；
4.卫健系统要求全日制普通高校学历的岗位，报考人员如取得更高层次的学历，并符合专业及学位要求的，则不限制全日制普通高校。
5.临海市教育系统和卫健系统所有招聘岗位最低服务期为5年。",,,,,,,,,,,,,,,
